,id
650,71168
651,39420
652,38354
653,18337
654,57443
655,52901
656,52903
657,52904
658,54829
659,61757
660,34578
661,2591
662,34003
663,33351
664,47010
665,34576
666,40457
667,34373
668,35630
669,23278
670,20412
671,31995
672,31994
673,34004
674,32614
675,31562
676,34005
677,79208
678,6433
679,54110
680,67361
681,7227
682,84403
683,67223
684,45583
685,29700
686,52523
687,45918
688,46573
689,36320
690,32391
691,61294
692,2977
693,54830
694,52447
695,74801
696,55806
697,25776
698,37241
699,59039
700,481
701,55475
702,8426
703,55360
704,51743
705,32297
706,54831
707,3915
708,2601
709,31893
710,66991
711,53413
712,34804
713,66743
714,52905
715,23937
716,7021
717,201
718,9289
719,47644
720,75639
721,10860
722,14589
723,21008
724,49018
725,384
726,6427
727,32500
728,37083
729,54832
730,20142
731,65877
732,66160
733,66161
734,63946
735,65836
736,31231
737,32124
738,1612
739,68584
740,72118
741,68904
742,18685
743,13425
744,79930
745,3365
746,57787
747,52842
748,63029
749,74991
750,26955
751,1931
752,2969
753,73383
754,66600
755,47175
756,7489
757,2478
758,18553
759,65865
760,5527
761,11058
762,44716
763,23754
764,46942
765,18548
766,75649
767,20085
768,39856
769,15096
770,5628
771,6641
772,7577
773,2759
774,80701
775,78059
776,80750
777,30072
778,3529
779,52046
780,387
781,10146
782,5349
783,52049
784,70192
785,83986
786,22461
787,12930
788,3823
789,22280
790,2160
791,412
792,15161
793,15397
794,41710
795,60532
796,66155
797,11790
798,4482
799,64775
800,77360
801,8610
802,52906
803,18045
804,62920
805,58042
806,74450
807,14111
808,45160
809,39166
810,34686
811,30427
812,52907
813,73846
814,82379
815,39951
816,4808
817,14091
818,18259
819,62950
820,54751
821,68961
822,39629
823,66363
824,58902
825,4266
826,82099
827,70124
828,70556
829,6972
830,37679
831,64814
832,76522
833,45403
834,7272
835,38804
836,51948
837,17385
838,13151
839,48258
840,48261
841,48259
842,3950
843,9022
844,5186
845,11014
846,15080
847,63541
848,29954
849,43057
850,51508
851,1344
852,52908
853,84119
854,9290
855,31845
856,2880
857,8851
858,40591
859,11437
860,49312
861,50690
862,2993
863,55198
864,4494
865,2173
866,26773
867,13906
868,15870
869,51639
870,18644
871,54833
872,54667
873,14717
874,22708
875,69147
876,44473
877,9923
878,35012
879,8826
880,42746
881,49523
882,67761
883,52961
884,63413
885,61642
886,46275
887,8084
888,630
889,54834
890,48273
891,54500
892,46085
893,50293
894,366
895,34547
896,34545
897,34549
898,34548
899,21829
900,12843
901,64081
902,72718
903,66996
904,10490
905,47918
906,39406
907,46288
908,77532
909,81889
910,47131
911,44114
912,52909
913,73002
914,55426
915,47778
916,68450
917,17519
918,49852
919,76937
920,43003
921,80376
922,76080
923,52203
924,60788
925,73259
926,53653
927,51242
928,60018
929,44257
930,16387
931,58509
932,77716
933,23830
934,49879
935,40332
936,57181
937,78652
938,54857
939,69493
940,18012
941,8209
942,76327
943,82758
944,51398
945,60414
946,37697
947,80109
948,80379
949,16731
950,66142
951,12137
952,68944
953,49475
954,82473
955,80436
956,66703
957,228
958,57367
959,3441
960,34201
961,14518
962,20229
963,34789
964,34790
965,7772
966,3385
967,300
968,19605
969,5321
970,49033
971,52910
972,63663
973,3629
974,2139
975,16055
976,66486
977,70619
978,57433
979,64154
980,66466
981,52911
982,14695
983,73801
984,14765
985,81327
986,68549
987,66974
988,54737
989,69175
990,73057
991,43231
992,24415
993,48985
994,2466
995,48761
996,41441
997,68784
998,62562
999,13596
1000,65495
1001,45650
1002,82997
1003,18966
1004,83965
1005,43549
1006,49592
1007,40954
1008,63306
1009,23423
1010,83418
1011,17043
1012,3981
1013,9164
1014,12749
1015,23153
1016,52609
1017,54860
1018,40577
1019,41221
1020,20564
1021,24003
1022,71171
1023,9641
1024,27876
1025,53348
1026,64188
1027,10485
1028,73767
1029,75683
1030,75674
1031,2846
1032,14590
1033,58311
1034,8546
1035,80385
1036,11786
1037,12483
1038,60914
1039,32355
1040,47570
1041,65972
1042,4391
1043,39395
1044,49623
1045,71821
1046,34768
1047,60560
1048,67045
1049,74912
1050,47628
1051,59173
1052,13076
1053,1370
1054,25963
1055,20981
1056,1304
1057,8696
1058,15185
1059,52615
1060,52914
1061,81887
1062,59670
1063,18414
1064,15976
1065,41503
1066,68606
1067,18279
1068,40859
1069,41125
1070,79241
1071,54871
1072,20092
1073,48588
1074,65779
1075,9312
1076,20414
1077,63595
1078,78016
1079,15329
1080,59068
1081,64155
1082,64612
1083,54123
1084,75362
1085,68377
1086,69037
1087,52922
1088,69520
1089,18785
1090,42055
1091,20048
1092,67912
1093,24848
1094,6162
1095,15366
1096,14167
1097,3923
1098,1376
1099,54031
1100,54038
1101,81061
1102,55500
1103,59529
1104,34269
1105,44647
1106,45449
1107,69667
1108,518
1109,7631
1110,54873
1111,19238
1112,38975
1113,66068
1114,9900
1115,63658
1116,77722
1117,72300
1118,28138
1119,3844
1120,23513
1121,67047
1122,69237
1123,83183
1124,30084
1125,54759
1126,77107
1127,74759
1128,65987
1129,74421
1130,65821
1131,49115
1132,75604
1133,78490
1134,65905
1135,63615
1136,21308
1137,44394
1138,44957
1139,49696
1140,25067
1141,48942
1142,13110
1143,23250
1144,51579
1145,9702
1146,46668
1147,49842
1148,5198
1149,47652
1150,51580
1151,45854
1152,38143
1153,33344
1154,43901
1155,45467
1156,5329
1157,3350
1158,33047
1159,59490
1160,26763
1161,20218
1162,76905
1163,67686
1164,8392
1165,35921
1166,17166
1167,66019
1168,11091
1169,7248
1170,79590
1171,79026
1172,5348
1173,17074
1174,79923
1175,23124
1176,23123
1177,9287
1178,72235
1179,14750
1180,40877
1181,6794
1182,80926
1183,65922
1184,8338
1185,77798
1186,56689
1187,19623
1188,76853
1189,25480
1190,10167
1191,14282
1192,31940
1193,9350
1194,36296
1195,78390
1196,68073
1197,62314
1198,82177
1199,60167
1200,35124
1201,44871
1202,48646
1203,52955
